SURVEY_ID,LKNAME,DOW,SURVEYTYPE,SURVEYDATE,COMMON_NAME,GEAR,CPUE,EFFORT,TOTAL_CATCH,YEAR,MAX_DEPTH_FEET,LAKE_AREA_GIS_ACRES,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5
132115154503e5,Upper Prior,70007200,Standard Survey,7/21/2015,largemouth bass,EF,86.77248677248677,1.89,164,2015,50,386.26,464590.4,4951202.7,44.7132,-93.44834
11981608932659e3,Eleventh Crow Wing,29003600,Standard Survey,7/18/2016,largemouth bass,EF,44.134078212290504,1.79,79,2016,80,750.97,368955.5,5208357.2,47.01484,-94.72264
11981722652922e3,East Crooked,29010101,Standard Survey,8/21/2017,largemouth bass,EF,24,2,48,2017,96,379.05,361408.2,5209815.8,47.02833,-94.82477
11981722652922e3,East Crooked,29010101,Standard Survey,8/21/2017,smallmouth bass,EF,36.5,2,73,2017,96,379.05,361408.2,5209815.8,47.02833,-94.82477
11981816932808e3,Eighth Crow Wing,29007200,Standard Survey,6/18/2018,largemouth bass,EF,91.42857142857143,1.05,96,2018,30,502.97,363426.1,5202219.8,46.95962,-94.79173
12351614545692e3,Big Spunk,73011700,Standard Survey,7/5/2016,largemouth bass,EF,83.4319526627219,1.69,141,2016,38,411.4,385254.6,5050034.1,45.59308,-94.47155
12971613046723e3,Big Portage,11030800,Targeted Survey,5/31/2016,largemouth bass,EF,8,2,16,2016,23,902.34,391451.5,5189986.8,46.8549,-94.41896
13031726428935e3,U.S. Lock & Dam #3 Pool,25001700,Targeted Survey,10/16/2017,largemouth bass,EF,30.82706766917293,1.33,41,2017,NA,2569.83,524715.8,4947903.4,44.68408,-92.69012
13031726428935e3,U.S. Lock & Dam #3 Pool,25001700,Targeted Survey,10/16/2017,smallmouth bass,EF,0.7518796992481203,1.33,1,2017,NA,2569.83,524715.8,4947903.4,44.68408,-92.69012
13091514642809e3,Spirit,01017800,Standard Survey,7/13/2015,largemouth bass,EF,45.56962025316456,1.58,72,2015,49,523.6,445703.7,5143574.3,46.44255,-93.70373
13101713235338e3,Crystal,19002700,Standard Survey,5/26/2017,largemouth bass,EF,232,2,464,2017,37,288.63,478883.8,4952115.2,44.72164,-93.26707
13251824333319e3,East Side,50000200,Targeted Survey,8/30/2018,largemouth bass,EF,29.487179487179485,0.78,23,2018,10,40.01,503825.7,4835359.8,43.67049,-92.9523
13251824333319e3,East Side,50000200,Targeted Survey,8/30/2018,smallmouth bass,EF,6.41025641025641,0.78,5,2018,10,40.01,503825.7,4835359.8,43.67049,-92.9523
13381713026331e3,Beaver,74002300,Standard Survey,7/10/2017,largemouth bass,EF,153,1,153,2017,27,97.95,471951.9,4859878.7,43.89168,-93.34977
13411516232258e3,Mary,29028900,Standard Survey,6/15/2015,largemouth bass,EF,82.3529411764706,0.85,70,2015,41,53.82,335801.4,5228047.3,47.18556,-95.16735
13681516652094e3,Oak,58004800,Standard Survey,8/17/2015,largemouth bass,EF,32.323232323232325,0.99,32,2015,20,458.74,531169.5,5137166.2,46.38735,-92.59455
14821915431928e3,Leven,61006600,Standard Survey,7/8/2019,largemouth bass,EF,36.36363636363637,1.43,52,2019,33,281.99,322277.6,5066543.4,45.7297,-95.28433
14831906330506e3,Mary,86019300,Research Survey,9/25/1995,largemouth bass,EF,61.627906976744185,1.72,106,1995,46,189.97,419336.3,4983027.7,44.99608,-94.02343
14831930424643e3,Mary,86019300,Research Survey,5/5/1999,largemouth bass,EF,159.7014925373134,0.67,107,1999,46,189.97,419336.3,4983027.7,44.99608,-94.02343
14831931740545e3,Cokato,86026300,Research Survey,8/17/1998,largemouth bass,EF,34.32835820895522,0.67,23,1998,52,552.78,408225,4995874.2,45.10975,-94.16798
14831931740545e3,Cokato,86026300,Research Survey,8/17/1998,smallmouth bass,EF,144.77611940298507,0.67,97,1998,52,552.78,408225,4995874.2,45.10975,-94.16798
14831932261827e3,Stahl's,43010400,Research Survey,6/30/1998,largemouth bass,EF,38.80597014925373,0.67,26,1998,37,140.57,387986.9,4978911,44.95523,-94.42042
15111613744844e3,Eagle,27011101,Standard Survey,7/5/2016,largemouth bass,EF,31.318681318681318,1.82,57,2016,34,287.21,467489.1,4991309.6,45.07433,-93.41318
15701715250424e3,Kroon,13001300,Standard Survey,6/26/2017,largemouth bass,EF,65.51724137931035,0.58,38,2017,30,193.18,512131,5022538.8,45.35633,-92.84471
16212115237001e3,Sugar,86023300,Standard Survey,7/19/2021,largemouth bass,EF,49.509803921568626,2.04,101,2021,69,1019.99,418531.4,5018739.6,45.31775,-94.03783
16261814932793e3,Mountain,17000300,Standard Survey,5/29/2018,largemouth bass,EF,92.07920792079207,1.01,93,2018,8,219.79,343663.3,4867944.5,43.94829,-94.94847
17231914136453e3,Mille Lacs,48000200,Large Lake Survey,9/1/2019,largemouth bass,EF,0.3952569169960475,5.06,2,2019,42,128226.17,450178.1,5121195.1,46.23853,-93.64368
17231914136453e3,Mille Lacs,48000200,Large Lake Survey,9/1/2019,smallmouth bass,EF,50.395256916996054,5.06,255,2019,42,128226.17,450178.1,5121195.1,46.23853,-93.64368
17241913652021e3,Fish,70006900,Standard Survey,6/24/2019,largemouth bass,EF,83.7037037037037,1.35,113,2019,28,172.95,463518.2,4944347,44.65157,-93.46039
17762017054935e3,Snaptail,31025500,Targeted Survey,6/29/2020,largemouth bass,EF,59.2,1.25,74,2020,70,169.75,471589.2,5257455.4,47.46913,-93.37606
17821920041558e3,Seventh Crow Wing,29009100,Standard Survey,7/29/2019,largemouth bass,EF,43.39622641509434,1.06,46,2019,42,260.62,360771.2,5200583.5,46.94375,-94.82905
11981816948706004,Tenth Crow Wing,29004500,Standard Survey,6/25/2018,largemouth bass,EF,41.17647058823529,1.02,42,2018,40,175.21,366550,5205436,46.98916,-94.75434
12051612431018e3,Lily,77035800,Standard Survey,8/8/2016,largemouth bass,EF,8.955223880597014,0.67,6,2016,38,61.69,345903.7,5074072.6,45.80318,-94.98294
12051706054207004,Beauty,77003500,Standard Survey,7/17/2017,largemouth bass,EF,61.53846153846153,1.56,96,2017,27,238.32,368535.8,5096520.2,46.00999,-94.69664
12051706054319008,Pine,49008100,Standard Survey,8/14/2017,largemouth bass,EF,49.53031596925704,11.71,580,2017,59,177.68,373188,5076567.4,45.83113,-94.63203
12191511939186008,Lost,31028900,Standard Survey,6/29/2015,largemouth bass,EF,17.1875,1.28,22,2015,28,88.78,469686.4,5281948.2,47.69048,-93.40354
12411514050390002,Rabbit (West Portion),18009302,Standard Survey,7/6/2015,largemouth bass,EF,97.46835443037975,0.79,77,2015,50,534.75,427937.9,5153406.7,46.53115,-93.9346
12411514050390002,Rabbit (West Portion),18009302,Standard Survey,7/6/2015,smallmouth bass,EF,1.2658227848101264,0.79,1,2015,50,534.75,427937.9,5153406.7,46.53115,-93.9346
12411514148583e3,Upper Cullen,18037600,Standard Survey,7/6/2015,largemouth bass,EF,27.835051546391753,0.97,27,2015,40,434.56,403693.7,5157743.8,46.56631,-94.2562
12691813432018002,North Brown's,73014700,Standard Survey,6/25/2018,largemouth bass,EF,18.42105263157895,1.14,21,2018,41,312.23,379605.6,5026975.6,45.38564,-94.53779
12691813454880008,Horseshoe,73015700,Standard Survey,8/13/2018,largemouth bass,EF,35.025380710659896,1.97,69,2018,57,627.25,380409.2,5031473.2,45.42664,-94.53302
12691813454880008,Horseshoe,73015700,Standard Survey,8/13/2018,smallmouth bass,EF,32.994923857868024,1.97,65,2018,57,627.25,380409.2,5031473.2,45.42664,-94.53302
12971713531556006,Hovde,11039400,Targeted Survey,5/15/2017,largemouth bass,EF,78.62595419847328,1.31,103,2017,26,132.96,389922.7,5207557.1,47.01325,-94.44879
13021514042383008,Fountain,24001800,Standard Survey,8/3/2015,largemouth bass,EF,57.57575757575758,0.99,57,2015,14,521.29,469330.9,4834563.1,43.65883,-93.37372
13031626631408032,Airport,85000800,Targeted Survey,10/3/2016,largemouth bass,EF,86.74698795180723,0.83,72,2016,NA,14.42,603459.7,4880658.8,44.07172,-91.70855
13101510335476010,Coon,02004200,Standard Survey,6/17/2015,largemouth bass,EF,11.274509803921568,2.04,23,2015,27,1481.24,486945.3,5016905.8,45.3072,-93.16513
13101713250210002,Marion,19002600,Standard Survey,5/24/2017,largemouth bass,EF,40.5,2,81,2017,21,530.3,477617.6,4945825.7,44.66772,-93.28153
13141507542263016,Crooked,21019900,Standard Survey,7/13/2015,largemouth bass,EF,30.76923076923077,1.69,52,2015,35,281.47,301167.6,5081853.7,45.85842,-95.55471
13141507542341016,Turtle,21009000,Standard Survey,7/13/2015,largemouth bass,EF,32.83582089552239,2.01,66,2015,21,218.04,313247.6,5071842.8,45.77448,-95.40239
13141507542780024,Miltona,21008300,Standard Survey,8/3/2015,largemouth bass,EF,30,1,30,2015,105,5724.28,316722.3,5101315.5,46.03834,-95.37518
13141507542882028,Ida,21012300,Standard Survey,8/10/2015,largemouth bass,EF,199.0566037735849,1.06,211,2015,106,4426.82,312725.9,5095803.5,45.98826,-95.42139
13141507542882028,Ida,21012300,Standard Survey,8/10/2015,smallmouth bass,EF,2.830188679245283,1.06,3,2015,106,4426.82,312725.9,5095803.5,45.98826,-95.42139
13561807335840004,Long,47002600,Standard Survey,6/25/2018,largemouth bass,EF,36.5,2,73,2018,28,167.92,397866.3,4995501.9,45.10561,-94.29873
14131515451829080,Big,77006300,Targeted Survey,5/26/2015,largemouth bass,EF,88,1,88,2015,21,293.51,369977.1,5111245.1,46.14207,-94.6835
14151614654651092,Crooked,73000600,Standard Survey,6/29/2016,largemouth bass,EF,131.57894736842104,0.76,100,2016,35,77.08,412979.1,5026901.4,45.3903,-94.11151
14151715034751e3,Elk,71005500,Standard Survey,7/24/2017,largemouth bass,EF,33.53293413173653,1.67,56,2017,15,361.91,451028.4,5037227.6,45.48753,-93.6265
14801716729388e3,Porter Reservoir,41015600,Targeted Survey,6/20/2017,largemouth bass,EF,10,0.5,5,2017,13,15.56,248701.9,4944302.4,44.60782,-96.16756
14831903832918150,Carnelian,73003800,Research Survey,9/16/1993,largemouth bass,EF,33.50383631713555,3.91,131,1993,36,179.91,400170.2,5024490.6,45.36738,-94.2744
14831905638275280,Games,34022400,Research Survey,9/16/1992,largemouth bass,EF,31.61993769470405,6.42,203,1992,42,521.1,335557.3,5022013.7,45.33293,-95.10063
16011815138545006,Bear Head,69025400,Standard Survey,8/20/2018,largemouth bass,EF,63.24786324786325,1.17,74,2018,46,661.74,568794.4,5292459.7,47.7845,-92.07942
16761914133915060,Rush,71014700,Standard Survey,8/12/2019,largemouth bass,EF,44.24242424242424,1.65,73,2019,11,160.91,427064,5037878.4,45.49086,-93.933090000000007
16761914133915060,Rush,71014700,Standard Survey,8/12/2019,smallmouth bass,EF,1.8181818181818183,1.65,3,2019,11,160.91,427064,5037878.4,45.49086,-93.933090000000007
17111905744450014,Coon,02004200,Standard Survey,6/17/2019,largemouth bass,EF,21.5,2,43,2019,27,1481.24,486945.3,5016905.8,45.3072,-93.16513
17521914136621004,Horseshoe,11035800,Standard Survey,5/21/2019,largemouth bass,EF,45,2.8,126,2019,51,260.32,387618.7,5189722.1,46.85105,-94.4738
17782113736771008,Fountain,24001800,Standard Survey,8/9/2021,largemouth bass,EF,73.88059701492537,1.34,99,2021,14,521.29,469330.9,4834563.1,43.65883,-93.37372
18102116245597132,Moose,04001100,Standard Survey,6/11/2021,largemouth bass,EF,134.23423423423424,1.11,149,2021,71,600.71,389881.5,5266872.3,47.54531,-94.46285
1840709440192147,Long,56039000,Population Assessment,8/6/2007,largemouth bass,EF,200,0.6,120,2007,88,395.42,283483.2,5118810.3,46.18895,-95.80314
4751016654659e3,Webb,11031100,Population Assessment,8/2/2010,largemouth bass,EF,26.060606060606062,1.65,43,2010,84,744.05,392453.1,5201195.4,46.95591,-94.41393
115940,Long,73023100,Re-Survey,6/19/2002,largemouth bass,EF,52.38095238095238,0.84,44,2002,65,92.31,366572.8,5062688.3,45.70605,-94.71448
115853,Somers,86023000,Population Assessment,9/7/1999,largemouth bass,EF,156.75675675675677,0.37,58,1999,21,151.35,419456.6,5012804.5,45.26393,-94.026840000000007
2690922230552e3,Artichoke,06000200,Population Assessment,6/3/2009,largemouth bass,EF,6,1,6,2009,15.5,1970.22,254132.2,5027166.1,45.35603,-96.13585
3541012446416e3,Caribou,69048900,Population Assessment,7/19/2010,largemouth bass,EF,122.22222222222221,0.54,66,2010,21,538.57,552569.1,5194141.8,46.8993,-92.313
4801315731043082,Pelican,26000200,Population Assessment,6/17/2013,largemouth bass,EF,88.37209302325581,0.86,76,2013,21,3760.62,283239.9,5104276,46.06016,-95.79859
19222115236954004,Auto,69073100,Standard Survey,7/26/2021,largemouth bass,EF,73.68421052631578,1.33,98,2021,29,96.8,527562.2,5280634.6,47.67856,-92.63404
3571116537453e3,Five,33000300,Re-Survey,6/15/2011,largemouth bass,EF,65.55555555555556,0.9,59,2011,32,43.99,489221.9,5110228.9,46.14493,-93.14136
116834,Manuella,47005000,Re-Survey,8/16/1993,largemouth bass,EF,16.666666666666668,1.5,25,1993,51,289.9,386204.8,4990293.1,45.05789,-94.44532
116834,Manuella,47005000,Re-Survey,8/16/1993,smallmouth bass,EF,5.333333333333333,1.5,8,1993,51,289.9,386204.8,4990293.1,45.05789,-94.44532
380712153626002,Upper Mission,18024200,Re-Survey,6/18/2007,largemouth bass,EF,127.11864406779661,1.77,225,2007,36,874.44,417713.5,5156190.4,46.55298,-94.0729
107772,Thomas,38075100,Re-Survey,7/27/1999,largemouth bass,EF,36.53846153846154,0.52,19,1999,20,142.07,597848.3,5232514.7,47.23859,-91.70653
6371116846988e3,Carlos,21005700,Special Assessment,7/25/2011,largemouth bass,EF,67.60563380281691,1.42,96,2011,163,2605.11,317215.2,5092901.3,45.9643,-95.35691
6371116846988e3,Carlos,21005700,Special Assessment,7/25/2011,smallmouth bass,EF,0.7042253521126761,1.42,1,2011,163,2605.11,317215.2,5092901.3,45.9643,-95.35691
4861228950681005,U.S. Lock & Dam #5 Pool,79000100,Population Assessment,10/19/2012,largemouth bass,EF,68.22916666666667,1.92,131,2012,NA,3091.28,587339.3,4897415,44.22913,-91.90773
121717,Long,27016000,Special Assessment,5/12/2004,largemouth bass,EF,8,2,16,2004,33,284.99,456036.5,4981877.5,44.98887,-93.55642
3540816438529e3,Long,69049500,Population Assessment,8/18/2008,largemouth bass,EF,1.7543859649122808,0.57,1,2008,14,374.24,551522,5240057,47.31113,-92.32013
119119,Fish,40005100,Special Assessment,5/15/2003,largemouth bass,EF,12,1,12,2003,55,77.4,446861.8,4897534.6,44.22956,-93.66559
121625,Wirth,27003700,Population Assessment,7/23/2001,largemouth bass,EF,4.838709677419355,0.62,3,2001,25,39.88,474488,4980977.6,44.98151,-93.32347
